,,,,,,,,,,,,,,,
,ppt,Precip (mm/mon),,,,,,,,,,,,,
IA,10,ppt,1968,12.7,2.32,12.68,96.09,57.41,114.62,108.08,70.8,155.44,133.33,14.25,46.53
IA,10,ppt,1969,38.58,36.86,34.08,31.41,86.28,161.35,127.47,79.52,41.7,61.13,12.02,38.36
IA,10,ppt,1970,6.9,1.91,50.51,45.03,111.3,61.74,66.98,37.15,112.81,116.92,44.73,19.95
IA,10,ppt,1971,8.16,61.63,25.42,28.95,57.81,168.8,91.05,25.01,36.1,108.22,52.91,21.66
IA,10,ppt,1972,8.19,15.77,22.37,76.62,131.88,76.86,148.64,80.2,77.69,57.9,40.99,41.83
IA,10,ppt,1973,24.6,18.32,69.24,53.46,101.77,68.06,117.48,75.92,139.67,46.17,74.44,24.86
IA,10,ppt,1974,5.02,4.48,31.06,50.83,96.54,96.25,35.46,135.1,27.69,28.54,18.11,11.31
IA,10,ppt,1975,48.99,11.89,47.76,125.01,77.28,148.8,18.98,142.23,40.15,7.59,81.99,13.03
IA,10,ppt,1976,4.35,17.39,75.53,43.81,62.04,61.31,38.92,24.85,50.76,23.69,0.72,10.32
IA,10,ppt,1977,5.95,15.48,99.39,76.39,80.44,81.88,106.11,103.77,106.02,89.55,57.99,20.48
IA,10,ppt,1978,12.77,14.63,12.2,89.23,65.67,95.58,180.72,99.16,77.1,16.41,27.6,18.01
IA,10,ppt,1979,30.72,14.73,101.6,59.94,90.62,84.05,104.77,179.12,69.33,96.51,55.89,5.15
IA,10,ppt,1980,17.64,17.38,20.17,28.13,78.98,56.13,54.15,180.43,63.09,33.21,2.56,8.07
IA,10,ppt,1981,0.63,19.72,37.17,22.11,71.8,136.19,99.75,102.6,31.37,60.46,16.16,30.83
IA,10,ppt,1982,37.6,5.42,27.94,36.13,165.47,51.07,135.11,98.71,96.23,113.01,59.88,68.92
IA,10,ppt,1983,12.13,18.58,99.99,65.68,90.11,224.21,77.2,48.12,93.03,49.65,98.27,14.94
IA,10,ppt,1984,13.43,28.51,36.89,162.39,102.93,208.86,65.48,37.69,21.12,116.84,34.62,41.31
IA,10,ppt,1985,7.78,2.37,68.47,139.63,87.99,76.56,23.72,134.34,141.8,32.68,33.98,20.98
IA,10,ppt,1986,5.76,6.43,51.3,146.28,100.19,105.84,98.14,94.63,124.14,72.88,28.69,6.57
IA,10,ppt,1987,4.44,1.15,98.65,24.29,87.95,44.7,181.1,95.8,86.64,12.55,32.61,22.87
IA,10,ppt,1988,23.19,10.28,14.94,79.09,49.99,64.38,42.65,146.66,105.86,6.13,55.7,9.45
IA,10,ppt,1989,12.96,6.87,27.71,45.47,40.93,61.82,97.1,55.31,77.87,5.59,8.9,5.56
IA,10,ppt,1990,10.76,6.63,73.25,42.14,128.36,173.55,102.74,77.57,36.49,45.28,16.48,23.51
IA,10,ppt,1991,11.04,12.6,76.2,122.94,124.64,122.99,93.89,74.26,64.33,25.57,104.39,18.13
IA,10,ppt,1992,18.48,20.31,64.8,78.29,72.06,84.24,186.12,112.17,62.43,101.8,44.82,26.89
IA,10,ppt,1993,20.85,29.75,40.14,97.22,147.61,203.92,174.51,141.38,53.82,30.16,33.39,25.08
IA,10,ppt,1994,31.24,12.74,0.95,71.39,43.28,183.24,84.92,84.01,94.85,44.82,40.45,19.93
IA,10,ppt,1995,4.82,4.45,81.04,103.68,138.08,88.35,68.94,135.38,89.29,65.75,17.69,8.06
IA,10,ppt,1996,31.38,2.34,41.01,20.27,100.23,133.66,76.21,126.91,66.64,46.29,79.74,27.95
IA,10,ppt,1997,25.37,18.47,18.16,63.46,91.87,101.33,80.71,39.05,77.13,42.65,16.05,9.15
IA,10,ppt,1998,21.47,18.54,67.8,109.11,75.53,130.44,78.05,98.57,26.11,108.77,41.02,7.26
IA,10,ppt,1999,25.28,10.97,21.36,139.46,76.18,154.19,107.28,21.61,20.21,16.96,9.92,8.07
IA,10,ppt,2000,16.22,29.28,24.9,39.99,99.87,88.51,80.78,80.67,20.26,62.58,62.78,29.74
IA,10,ppt,2001,30.82,24.42,14.68,132.16,134.46,87.82,103.57,61.79,55.31,22.7,77.77,7.9
IA,10,ppt,2002,3.5,13.52,24.99,70.32,68.03,74.26,70,185.01,50.27,77.01,3.62,1.94
IA,10,ppt,2003,7.92,16.84,45.01,58.62,105.52,140.7,100.28,31.53,84.34,16.44,23.87,24.82
IA,10,ppt,2004,20.53,24.55,71.65,60.76,149.17,65.78,107.42,60.4,210.1,24.83,50.81,3.56
IA,10,ppt,2005,13.62,35.3,23.05,86.4,110.6,151.06,78.29,60.45,149.42,30.09,46.62,32.96
IA,10,ppt,2006,9.11,8.45,79.09,122.3,30.38,70.06,20.54,140,106,13.37,26.07,45.52
IA,10,ppt,2007,23.87,32.05,71.37,84.15,99.74,47.88,35.97,239.74,79.53,129.35,0.73,35.33
IA,10,ppt,2008,9.96,18.18,24.96,74.67,134.99,147.57,103.74,46.38,65.49,106.35,28.83,34.88
IA,10,ppt,2009,18.03,18.4,36.39,49.71,51.91,98.76,130.65,63.95,37.19,154.37,24.3,56.26
IA,10,ppt,2010,27.87,23.05,42.72,69.96,48.58,244.21,215.54,108.2,140.16,33.47,26.82,26.82
IA,10,ppt,2011,29.28,32.82,20.86,83.84,131.37,145.99,97.87,47.3,19.55,7.73,3.18,23.8
IA,10,ppt,2012,19.09,57.48,28.59,92.23,165.73,60.74,33.56,55.3,37.24,42.37,16.9,27.3
IA,10,ppt,2013,9.96,20.44,45.31,124.47,209.74,103.33,25.41,64.65,28.61,74.49,18.39,9.33
IA,10,ppt,2014,8.51,20.12,14.09,69.38,55.24,321.78,49.75,109.99,76.86,41.89,11.92,30.58
IA,10,ppt,2015,13.21,18.22,12.02,68.59,104.11,92.71,104.81,169.68,68.24,44.47,105.4,79.71
IA,10,tmax,1950,-5.39,-1.18,2.77,10.47,20.2,26.7,26.48,25.95,23.88,20,6.8,-3.02
IA,10,tmax,1951,-3.5,0.85,-0.44,10.18,22.19,23.08,27.3,26.49,20.17,16.26,3.73,-3.43
IA,10,tmax,1952,-3.68,2.14,1.94,15.67,21.1,29.36,29.61,27.07,25.54,16.76,9.06,-0.57
IA,10,tmax,1953,-2.58,-0.35,6.65,10.83,21.17,28.63,29.45,28.84,25.54,21.71,10.49,1.63
IA,10,tmax,1954,-3.53,7.47,3.14,17.21,18.94,27.28,31.04,27.22,23.89,14.24,11.03,0.86
IA,10,tmax,1955,-1.82,-3.11,5.08,20.6,25.18,25.45,32.43,33.29,26.41,19.02,3.93,-4.52
IA,10,tmax,1956,-4.43,-2.34,4.73,14.17,22.49,31.32,28.68,29.2,25.51,22.28,6.65,2.38
IA,10,tmax,1957,-5.21,2.25,6.02,15.07,20.25,26.07,31.51,27.94,21.89,14.49,5.47,4.21
IA,10,tmax,1958,0.17,-2.27,4.62,15.47,24.84,24.95,27.16,30.67,25.84,20.14,10.3,-1.12
IA,10,tmax,1959,-4.44,-2.9,6.33,16.28,22.32,28.9,29.37,30.44,23.52,13.67,2,3.53
IA,10,tmax,1960,-3.84,-3.09,-2.34,15.37,21.56,25.43,29.42,28.61,23.97,18.51,9.82,-0.31
IA,10,tmax,1961,-2.48,1.21,5.7,11.91,19.93,27.09,29.01,28.72,22.17,18.78,6.6,-3.19
IA,10,tmax,1962,-5.22,-2.81,0.24,14.33,24.06,25.61,27.36,28.17,22.06,18.48,9.65,1.26
IA,10,tmax,1963,-7.99,-0.95,9.12,17.83,21.62,29.43,29.95,27.81,24.63,23.73,11.33,-4.39
IA,10,tmax,1964,1.71,4.05,4.45,15.58,24.93,27.44,31.21,26.47,22.62,17.74,9.12,-3.15
IA,10,tmax,1965,-3.8,-2.99,-1.55,13.56,24.25,27,29.3,28.13,18.11,18.94,8.16,3.59
IA,10,tmax,1966,-7.04,-1.13,10.17,12.03,21.48,27.1,31.47,26.85,23.34,18.17,6.84,-0.87
IA,10,tmax,1967,-1.85,-1.52,9.72,15.85,19.92,25.15,28.74,28.06,23.53,16.71,7.11,1.05
IA,10,tmax,1968,-3.15,-1.1,12.88,17.21,20.12,28.32,28.74,28.6,22.74,17.35,6.49,-2.61
IA,10,tmax,1969,-7.39,-2.11,-0.24,15.59,22.65,24.23,29,28.81,23.89,13.87,7.52,-1.44
IA,10,tmax,1970,-8.53,0.4,2.3,15.22,23.7,28.43,30.15,29.1,23.71,15.24,5.6,-0.98
IA,10,tmax,1971,-6.56,-1.89,4,17.05,21.2,29.43,27.39,28.92,24.41,18.93,7.35,-1.66
IA,10,tmax,1972,-5.75,-4.04,6.07,13.36,21.97,26.98,27.44,27.19,22.58,14.6,4.18,-4.72
IA,10,tmax,1973,-2.76,-0.6,8.76,14.62,20.97,28.55,28.59,29.39,21.96,19.73,7,-2.69
IA,10,tmax,1974,-4.65,1.43,7.68,16.23,20.65,26.74,32.6,26.33,22.76,18.56,7.27,0.3
IA,10,tmax,1975,-2.69,-3.79,1.17,9.59,24.03,25.84,31.2,28.96,21.52,20.16,8.7,-0.86
IA,10,tmax,1976,-2.17,5.35,6.81,18.45,21.89,28.81,31.12,30.58,25.43,14.48,5.22,-1.61
IA,10,tmax,1977,-8.76,3.81,9.06,19.27,26.53,28.73,30.62,26.26,23.91,15.51,5.9,-3.03
IA,10,tmax,1978,-9.62,-6.91,4.89,13.56,22.35,27.44,28.95,28.39,27.01,17.15,5.9,-4.05
IA,10,tmax,1979,-11.65,-7.94,2.29,11.95,20.45,27.07,28.89,26.64,25.31,16.88,5.34,3.39
IA,10,tmax,1980,-1.96,-3.25,4.2,16.89,23.76,28.03,31.48,28.18,24.88,15.55,10.39,-0.25
IA,10,tmax,1981,1.56,3.1,11.43,19.36,21.47,28.16,28.6,26.66,24.94,14.8,9.75,-2.36
IA,10,tmax,1982,-9.36,-2.74,4.6,13.52,21.66,24.34,29.53,27.15,22.17,16.62,4.81,1.1
IA,10,tmax,1983,-2.03,-0.13,4.53,10.14,19.71,25.55,31.1,32.15,24.65,16.08,5.26,-11.41
IA,10,tmax,1984,-3.74,2.35,0.85,12.38,19.82,26.91,28.77,29.73,22.73,16.23,7.91,0.13
IA,10,tmax,1985,-4.36,-2.29,9.67,17.9,24.36,25.76,29.15,25.4,21.13,15.44,0.36,-6.94
IA,10,tmax,1986,-0.49,-3.43,8.54,16.49,21.77,28.25,29.8,25.62,22.75,16.31,4.27,0.63
IA,10,tmax,1987,0.68,7.69,9.03,19.68,25.95,29.89,30.09,26.2,23.71,14.68,9.32,0.39
IA,10,tmax,1988,-5.68,-3.55,9.62,15.69,26.55,31.25,30.14,30.58,24.76,14.59,7.2,-0.31
IA,10,tmax,1989,1.95,-4.89,4.32,16.26,22.77,26.46,30.28,27.89,23.02,18.75,5.62,-5.64
IA,10,tmax,1990,3.6,2.29,8.34,15.86,19.75,27.65,27.81,27.53,25.84,16.87,9.41,-2.69
IA,10,tmax,1991,-5.96,3.12,8.54,16.34,22.14,27.99,28.49,27.76,23.09,16.19,0.18,0.05
IA,10,tmax,1992,1.21,2.22,8.22,11.68,23.14,26.06,24.03,24.26,22.44,16.51,2.52,-1.41
IA,10,tmax,1993,-5.48,-5.26,1.97,11.97,19.63,23.94,26.21,26.91,19.55,15.46,4.42,-1.44
IA,10,tmax,1994,-9.13,-5.74,8.21,16.14,23.72,27.27,26.46,25.94,24.15,17.39,8.29,-1.16
IA,10,tmax,1995,-4.51,0.31,5.51,11.01,18.58,26.26,29.05,29.47,21.59,15.42,2.9,-0.74
IA,10,tmax,1996,-5.69,0.06,3.52,13.1,17.87,26.74,26.9,26.52,21.15,17.6,0.67,-6.37
IA,10,tmax,1997,-7.28,-1.76,6.04,12.16,18.3,28.47,28.37,26.61,24.71,18.03,2.76,0.68
IA,10,tmax,1998,-2.68,3.9,2.48,15.14,24.95,24.39,28.3,27.56,27.56,17.27,8.13,3.35
IA,10,tmax,1999,-5.54,3.36,7.5,14.21,21.44,25.22,29.8,27.1,23.48,17.67,13.69,2.57
IA,10,tmax,2000,-1.71,4.19,11.73,15.86,23.6,25.72,27.92,28.05,24.93,17.82,2.19,-8.6
IA,10,tmax,2001,-2.53,-5.28,1.58,16.06,21.36,26.69,29.3,27.99,22.29,16.66,14.72,2.87
IA,10,tmax,2002,2.25,3.4,1.88,15.48,20.15,28.83,31.19,26.94,24.31,11.77,6.4,2.93
IA,10,tmax,2003,-2.52,-1.26,6.9,16.1,19.7,25.66,28.4,29.47,23.04,18.5,5.64,0.35
IA,10,tmax,2004,-3.68,-3.06,9.12,17.73,20.78,24.68,26.99,25.15,25.79,16.76,9.34,1.56
IA,10,tmax,2005,-4.55,3.71,6.82,17.82,20.12,27.7,29.53,27.69,26.67,18.29,9.58,-4.13
IA,10,tmax,2006,2.99,0.25,5.83,17.65,22.11,27.9,31.26,27.69,20.82,15.04,9.12,3.02
IA,10,tmax,2007,-2.8,-6.13,8.89,13.65,24.59,28.01,30.22,27.98,24.72,18.57,8.2,-3.92
IA,10,tmax,2008,-5.49,-4.84,3.44,12.14,20.43,26.42,29.01,27.54,23.63,16.28,6.72,-4.01
IA,10,tmax,2009,-5.6,1.53,6.8,13.95,21.69,25.46,26.15,26.15,24.41,10.63,11.6,-4.18
IA,10,tmax,2010,-7.76,-4.69,6.86,19.22,21.53,26.66,28.92,29.2,22.85,19.72,7.21,-3.91
IA,10,tmax,2011,-6.72,-2.39,4.59,12.93,20.81,25.78,30.83,28.08,22.74,19.52,9.28,2.18
IA,10,tmax,2012,1.23,2.01,16.21,18.39,24.66,28.38,32.68,28.8,25.59,14.84,9.39,0.99
IA,10,tmax,2013,-2.05,-0.48,1.9,10.28,19.56,25.5,28.98,27.61,26.38,15.91,6.05,-4.4
IA,10,tmax,2014,-3.87,-5.26,3.71,14.82,21.63,26.23,25.99,26.13,22.65,17.2,2.75,-0.28
IA,10,tmax,2015,-1.97,-4.26,10.15,17.07,20.63,26.42,27.69,25.59,25.71,17.93,9.26,1.27
IA,10,tmean,1950,-11.93,-6.89,-2.47,4.56,13.61,19.95,20.31,19.5,16.76,12.87,0.06,-8.32
IA,10,tmean,1951,-9.29,-4.82,-5.38,5.35,15.98,17.56,21.38,20.67,14.17,10.11,-1.82,-8.41
IA,10,tmean,1952,-9.48,-1.99,-2.21,9.1,14.7,22.49,22.94,20.72,17.79,8.21,2.6,-4.98
IA,10,tmean,1953,-7.74,-4.94,1.21,5.41,14.76,22.11,22.95,22.32,17.48,13.73,4.19,-3.94
IA,10,tmean,1954,-9.95,1.76,-1.42,9.92,12.07,21.48,24.32,21.51,17.77,9.36,4.69,-3.47
IA,10,tmean,1955,-7.05,-8.95,-1.19,12.82,17.51,19.04,26.02,25.47,18.44,11.46,-2.26,-9.64
IA,10,tmean,1956,-9.71,-8.47,-1.01,6.52,15.65,23.72,21.79,22.35,16.98,14.3,1.3,-3.19
IA,10,tmean,1957,-11.16,-3.71,0.37,8.25,14.03,19.54,25.23,21.87,15.46,9.18,1.27,-1.25
IA,10,tmean,1958,-4.73,-8.68,0.03,8.62,16.65,18.18,21,23.14,18.22,12.19,3.02,-7.68
IA,10,tmean,1959,-10.63,-9.27,0.83,8.75,16.04,22.13,22.18,24.16,16.96,7.72,-3.42,-0.59
IA,10,tmean,1960,-8.61,-7.85,-7.87,8.95,14.63,19.09,22.45,22.22,17.7,10.95,3.5,-5.94
IA,10,tmean,1961,-8.64,-4.48,1.36,5.73,13.21,20.22,22.09,22.16,16.01,11.3,1.16,-8.28
IA,10,tmean,1962,-11.09,-7.2,-4.33,7.44,17.88,19.53,21.52,21.45,15.19,12.06,4.11,-4.48
IA,10,tmean,1963,-13.38,-7.25,3.12,10.48,14.86,22.63,23.58,21.49,18.27,15.88,4.71,-10.23
IA,10,tmean,1964,-4.55,-2.89,-2.08,9.1,17.65,20.58,24.43,20,16.25,10.15,3.24,-8.51
IA,10,tmean,1965,-9.64,-9.41,-6.07,7.55,17.24,20.51,22.71,21.17,12.84,11.69,2.02,-1.23
IA,10,tmean,1966,-12.56,-7.15,3.56,6.15,13.48,20.38,24.82,20.02,16.3,10.26,0.59,-6.22
IA,10,tmean,1967,-7.76,-8.18,2.9,8.83,12.66,19.5,21.73,20.6,15.92,9.51,1.05,-4.07
IA,10,tmean,1968,-8.75,-6.7,4.64,9.68,12.7,21.2,22.28,21.95,16.28,10.92,1.52,-7.18
IA,10,tmean,1969,-12.37,-6.57,-5.66,8.99,15.91,17.5,23.11,22.11,16.96,8.07,1.82,-6.12
IA,10,tmean,1970,-14.34,-6.25,-2.52,8.29,16.59,21.43,23.17,22.31,17.12,9.4,1.01,-6.98
IA,10,tmean,1971,-11.69,-6.86,-1.03,9.47,13.85,22.85,20.9,21.27,17.03,12.66,2.07,-6.08
IA,10,tmean,1972,-11.56,-10.14,0.52,7.03,15.89,20.13,21.35,21.33,16.12,8.17,0.81,-9.66
IA,10,tmean,1973,-7.44,-5.14,4.45,8.05,14.04,21.5,22.67,22.85,16.24,13.06,2.31,-7.16
IA,10,tmean,1974,-10.07,-4.29,1.72,9.45,14.13,19.62,25.21,19.89,14.87,10.91,2.22,-4.6
IA,10,tmean,1975,-8.24,-8.61,-3.96,5.11,16.98,19.85,24.03,22.76,14.83,11.84,2.99,-5.01
IA,10,tmean,1976,-8,-0.5,1.23,11.13,14.3,21.03,23.73,22.67,17.35,7.25,-1.41,-8.33
IA,10,tmean,1977,-14.74,-3.19,3.57,12.19,19.43,21.48,23.93,19.87,17.5,9.25,0.86,-7.52
IA,10,tmean,1978,-14.9,-12.24,-0.85,8.13,15.38,20.52,22.67,21.74,19.83,10.01,0.23,-9.09
IA,10,tmean,1979,-16.6,-13.91,-2.4,6.3,13.42,20.25,22.59,20.89,18,9.7,0.48,-2.34
IA,10,tmean,1980,-7.02,-8.05,-1.11,9.5,16.04,20.97,24.01,21.93,17.52,8.7,3.57,-5.62
IA,10,tmean,1981,-5.33,-3.45,3.62,11.9,14.33,21.04,22.76,20.76,17.17,8.87,4.24,-7.12
IA,10,tmean,1982,-15.14,-8.07,-0.01,6.64,16.18,17.72,23.36,21.22,16.43,10.43,-0.09,-3.5
IA,10,tmean,1983,-6.36,-3.69,0.52,5.12,12.81,19.75,24.81,25.27,17.49,10.03,1.87,-16
IA,10,tmean,1984,-8.57,-2.11,-3.68,7.25,13.56,20.91,22.21,22.85,15.24,10.48,2.14,-5.52
IA,10,tmean,1985,-10.21,-7.7,3.92,11.05,17.35,18.96,22.04,19.21,15.92,9.31,-4.11,-12.8
IA,10,tmean,1986,-5.65,-7.69,2.86,9.91,15.63,21.81,23.69,19.31,16.99,10.35,-1.31,-4.04
IA,10,tmean,1987,-4.66,0.8,3.55,11.42,18.55,22.73,23.99,20.46,16.92,7.53,4.28,-3.23
IA,10,tmean,1988,-11.59,-9.29,2.8,8.15,18.9,23.78,23.38,23.55,17.64,7.61,1.8,-5.7
IA,10,tmean,1989,-3.44,-10.95,-1.16,8.81,14.95,19.63,23.89,21.62,16.07,10.63,-1,-11.23
IA,10,tmean,1990,-2.46,-4.01,2.55,8.29,13.37,21.26,21.99,21.62,18.89,9.37,3.12,-8.3
IA,10,tmean,1991,-11.4,-2.47,2.32,10.04,16.84,22.49,22.46,21.68,16.42,8.87,-4.04,-4.27
IA,10,tmean,1992,-3.44,-1.44,2.59,6,15.65,19.4,18.92,18.41,15.66,9.64,-0.54,-5.9
IA,10,tmean,1993,-10.58,-9.29,-2.69,6.29,13.94,18.41,21.49,21.41,13.54,8.88,-0.93,-5.82
IA,10,tmean,1994,-14.21,-11.18,2.19,8.34,16.38,21.38,20.46,19.85,17.76,11.38,2.96,-5.37
IA,10,tmean,1995,-8.71,-4.89,0.74,5.54,12.83,20.52,22.65,23.74,15.02,9.46,-2.12,-5.05
IA,10,tmean,1996,-10.88,-5.62,-2.87,6.17,12.69,20.78,20.88,20.54,15.3,10.36,-3.54,-10.36
IA,10,tmean,1997,-12.14,-6.29,0.57,5.69,11.66,21.59,22.69,20.67,17.7,11,-1.47,-2.93
IA,10,tmean,1998,-6.7,-0.03,-1.66,9.04,18.2,18.77,22.66,22.35,19.83,11.22,3.34,-2.86
IA,10,tmean,1999,-10.36,-1.27,1.61,8.63,15.47,19.84,23.99,20.92,15.86,9.53,6.09,-3.52
IA,10,tmean,2000,-7.77,-1.43,4.96,8.65,16.67,19.37,22.26,22.06,17.05,11.45,-2.22,-13.59
IA,10,tmean,2001,-7.37,-10.53,-2.99,9.46,15.55,20.37,23.62,22.08,15.99,9.67,7.93,-2.21
IA,10,tmean,2002,-3.9,-2.67,-3.57,8.66,13.1,22.5,24.74,21.12,17.54,6.31,0.62,-2.95
IA,10,tmean,2003,-8.23,-7.69,0.34,9.31,13.73,19.53,22.22,22.73,15.52,10.78,0.44,-3.83
IA,10,tmean,2004,-9.27,-7.33,3.7,9.61,14.57,18.57,21.19,18.74,19.07,10.57,3.74,-3.84
IA,10,tmean,2005,-9.04,-1.6,0.58,10.98,13.91,22.03,23.56,21.39,19.61,11.1,3.41,-7.97
IA,10,tmean,2006,-0.85,-5.49,0.86,11.21,15.78,21.2,24.45,21.95,14.68,8.51,2.57,-1.97
IA,10,tmean,2007,-7.55,-10.72,3.66,7.37,18.11,21.53,23.48,22.52,17.65,12.6,2.04,-8.23
IA,10,tmean,2008,-10.53,-10.05,-1.54,6.24,13.8,20.21,22.95,21.02,16.95,9.8,1.71,-9.49
IA,10,tmean,2009,-11.37,-4.3,0.87,7.33,15.05,19.64,20.07,19.91,17.52,6,5.51,-8.82
IA,10,tmean,2010,-12.15,-9.75,2.05,11.98,14.81,20.79,23.16,23.38,16.28,11.74,1.67,-8.49
IA,10,tmean,2011,-11.84,-7.36,-0.51,7.33,14.45,20.33,25.28,21.72,15.46,11.6,2.4,-3.39
IA,10,tmean,2012,-4.46,-3.42,9.49,11.06,17.8,22.05,26.04,21.6,16.74,8.13,2.92,-4.28
IA,10,tmean,2013,-7.48,-5.69,-2.78,4.42,13.83,20.23,22.63,21.61,19.14,9.67,0.02,-9.92
IA,10,tmean,2014,-10.63,-11.38,-2.28,7.7,14.88,20.58,20.23,21.18,16.35,10.38,-3.1,-3.78
IA,10,tmean,2015,-6.84,-9.83,2.66,9.88,14.66,20.73,21.82,19.95,19.58,11.19,4,-2.22
IA,10,tmin,1950,-18.47,-12.6,-7.72,-1.35,7.03,13.19,14.14,13.05,9.64,5.75,-6.69,-13.63
IA,10,tmin,1951,-15.07,-10.49,-10.31,0.51,9.76,12.05,15.47,14.86,8.16,3.97,-7.37,-13.39
IA,10,tmin,1952,-15.27,-6.12,-6.37,2.54,8.3,15.63,16.26,14.38,10.05,-0.34,-3.87,-9.4
IA,10,tmin,1953,-12.9,-9.53,-4.22,0,8.36,15.59,16.45,15.8,9.42,5.75,-2.12,-9.52
IA,10,tmin,1954,-16.36,-3.96,-5.99,2.62,5.21,15.67,17.61,15.8,11.65,4.47,-1.66,-7.8
IA,10,tmin,1955,-12.28,-14.8,-7.47,5.04,9.84,12.64,19.61,17.65,10.48,3.91,-8.45,-14.75
IA,10,tmin,1956,-14.99,-14.61,-6.75,-1.13,8.81,16.12,14.89,15.49,8.44,6.33,-4.06,-8.76
IA,10,tmin,1957,-17.11,-9.67,-5.28,1.43,7.81,13.01,18.96,15.8,9.03,3.86,-2.92,-6.71
IA,10,tmin,1958,-9.64,-15.08,-4.57,1.78,8.46,11.41,14.84,15.61,10.6,4.24,-4.26,-14.24
IA,10,tmin,1959,-16.82,-15.65,-4.67,1.21,9.77,15.36,14.98,17.89,10.4,1.77,-8.84,-4.7
IA,10,tmin,1960,-13.38,-12.61,-13.4,2.53,7.69,12.75,15.47,15.83,11.44,3.4,-2.82,-11.58
IA,10,tmin,1961,-14.8,-10.17,-2.99,-0.45,6.48,13.35,15.17,15.6,9.86,3.82,-4.29,-13.37
IA,10,tmin,1962,-16.96,-11.58,-8.91,0.55,11.7,13.47,15.69,14.73,8.33,5.64,-1.42,-10.23
IA,10,tmin,1963,-18.77,-13.55,-2.88,3.13,8.11,15.83,17.21,15.18,11.91,8.03,-1.91,-16.08
IA,10,tmin,1964,-10.81,-9.84,-8.61,2.62,10.38,13.72,17.65,13.52,9.88,2.57,-2.63,-13.87
IA,10,tmin,1965,-15.48,-15.83,-10.59,1.53,10.22,14.02,16.12,14.22,7.57,4.45,-4.11,-6.04
IA,10,tmin,1966,-18.07,-13.16,-3.04,0.27,5.48,13.67,18.17,13.18,9.26,2.35,-5.65,-11.56
IA,10,tmin,1967,-13.66,-14.84,-3.91,1.8,5.39,13.84,14.73,13.13,8.31,2.3,-5.01,-9.19
IA,10,tmin,1968,-14.35,-12.29,-3.6,2.14,5.27,14.08,15.83,15.3,9.82,4.5,-3.44,-11.77
IA,10,tmin,1969,-17.34,-11.02,-11.07,2.39,9.16,10.76,17.21,15.41,10.03,2.27,-3.89,-10.8
IA,10,tmin,1970,-20.15,-12.89,-7.35,1.37,9.48,14.43,16.2,15.52,10.53,3.55,-3.57,-12.98
IA,10,tmin,1971,-16.82,-11.84,-6.07,1.9,6.5,16.28,14.41,13.62,9.64,6.4,-3.21,-10.5
IA,10,tmin,1972,-17.37,-16.23,-5.04,0.69,9.81,13.29,15.25,15.47,9.66,1.73,-2.56,-14.6
